_id,FinancialYear,Country,Dataset,DatasetQF,NumberOfAdmissions,NumberOfDischarges,NumberOfStays,NumberOfPatients,NumberOfHospitalResidents,NumberOfHospitalResidentsQF
1,1997/98,S92000003,Total,d,41460,41780,38150,28180,7840, 
2,1997/98,S92000003,Total,d,9450,9480,8700,7760, ,:
3,1997/98,S92000003,SMR04, ,32010,32300,29450,21530,7840, 
4,1998/99,S92000003,Total,d,41380,41900,38010,28400,7330, 
5,1998/99,S92000003,Total,d,9830,9840,8920,7890, ,:
6,1998/99,S92000003,SMR04, ,31550,32060,29100,21560,7330, 
7,1999/00,S92000003,Total,d,40850,41270,37190,28040,6900, 
8,1999/00,S92000003,Total,d,9900,9900,9060,7970, ,:
9,1999/00,S92000003,SMR04, ,30950,31360,28130,21120,6900, 
10,2000/01,S92000003,Total,d,40210,40520,36100,27230,6620, 
11,2000/01,S92000003,Total,d,9640,9680,8800,7660, ,:
12,2000/01,S92000003,SMR04, ,30570,30840,27300,20540,6620, 
13,2001/02,S92000003,Total,d,39770,40080,35330,26750,6310, 
14,2001/02,S92000003,Total,d,9920,9890,8800,7740, ,:
15,2001/02,S92000003,SMR04, ,29850,30180,26540,19980,6310, 
16,2002/03,S92000003,Total,d,38980,39300,34850,26680,5990, 
17,2002/03,S92000003,Total,d,9940,9940,8750,7700, ,:
18,2002/03,S92000003,SMR04, ,29040,29360,26100,19920,5990, 
19,2003/04,S92000003,Total,d,38820,39000,33920,26390,5800, 
20,2003/04,S92000003,Total,d,10400,10400,8820,7810, ,:
21,2003/04,S92000003,SMR04, ,28420,28600,25100,19570,5800, 
22,2004/05,S92000003,Total,d,37220,37580,32660,25420,5490, 
23,2004/05,S92000003,Total,d,9830,9860,8430,7390, ,:
24,2004/05,S92000003,SMR04, ,27390,27710,24230,18970,5490, 
25,2005/06,S92000003,Total,d,35820,36120,31430,24520,5180, 
26,2005/06,S92000003,Total,d,9790,9780,8240,7180, ,:
27,2005/06,S92000003,SMR04, ,26030,26340,23190,18190,5180, 
28,2006/07,S92000003,Total,d,35750,35960,31120,24170,4960, 
29,2006/07,S92000003,Total,d,11140,11130,9240,7970, ,:
30,2006/07,S92000003,SMR04, ,24610,24830,21870,17190,4960, 
31,2007/08,S92000003,Total,d,36280,36600,31600,24430,4600, 
32,2007/08,S92000003,Total,d,12590,12560,10190,8580, ,:
33,2007/08,S92000003,SMR04, ,23690,24040,21410,16820,4600, 
34,2008/09,S92000003,Total,d,36210,36570,31730,24640,4300, 
35,2008/09,S92000003,Total,d,12810,12870,10280,8600, ,:
36,2008/09,S92000003,SMR04, ,23400,23700,21440,17130,4300, 
37,2009/10,S92000003,Total,d,34570,34690,29640,23440,4160, 
38,2009/10,S92000003,Total,d,12420,12400,9830,8300, ,:
39,2009/10,S92000003,SMR04, ,22140,22290,19810,16090,4160, 
40,2010/11,S92000003,Total,d,35000,35170,29140,23100,3990, 
41,2010/11,S92000003,Total,d,13680,13690,10270,8680, ,:
42,2010/11,S92000003,SMR04, ,21320,21490,18860,15450,3990, 
43,2011/12,S92000003,Total,d,36360,36600,29660,23430,3770, 
44,2011/12,S92000003,Total,d,15140,15150,11080,9160, ,:
45,2011/12,S92000003,SMR04, ,21220,21440,18570,15280,3770, 
46,2012/13,S92000003,Total,d,36210,36270,29360,23240,3700, 
47,2012/13,S92000003,Total,d,15180,15170,10890,9070, ,:
48,2012/13,S92000003,SMR04, ,21030,21100,18460,15160,3700, 
49,2013/14,S92000003,Total,d,37600,37630,29610,23380,3650, 
50,2013/14,S92000003,Total,d,16710,16700,11570,9550, ,:
51,2013/14,S92000003,SMR04, ,20890,20930,18050,14890,3650, 
52,2014/15,S92000003,Total,d,39440,39460,29430,23260,3610, 
53,2014/15,S92000003,Total,d,18170,18170,11810,9800, ,:
54,2014/15,S92000003,SMR04, ,21270,21290,17620,14480,3610, 
55,2015/16,S92000003,Total,d,42320,42420,30240,23980,3520, 
56,2015/16,S92000003,Total,d,20430,20420,12460,10500, ,:
57,2015/16,S92000003,SMR04, ,21890,22000,17790,14560,3520, 
58,2016/17,S92000003,Total,d,44310,44380,30900,24380,3420, 
59,2016/17,S92000003,Total,d,23050,23030,13640,11260, ,:
60,2016/17,S92000003,SMR04, ,21260,21350,17250,14210,3420, 
61,2017/18,S92000003,Total,d,46710,46760,31420,24860,3380, 
62,2017/18,S92000003,Total,d,25690,25680,14630,12040, ,:
63,2017/18,S92000003,SMR04, ,21010,21080,16800,13970,3380, 
64,2018/19,S92000003,Total,d,48790,48820,32480,25240,3280, 
65,2018/19,S92000003,Total,d,26940,26870,15460,12610, ,:
66,2018/19,S92000003,SMR04, ,21850,21950,17020,13880,3280, 
67,2019/20,S92000003,Total,d,51680,52520,33760,25960,2670, 
68,2019/20,S92000003,Total,d,30360,30580,16740,13290, ,:
69,2019/20,S92000003,SMR04, ,21320,21940,17030,13860,2670, 
70,2020/21,S92000003,Total,d,50240,49820,30430,23500,2870, 
71,2020/21,S92000003,Total,d,30120,29900,15390,12420, ,:
72,2020/21,S92000003,SMR04, ,20130,19920,15040,12200,2870, 
73,2021/22,S92000003,Total,d,49180,49690,30520,23570,2750, 
74,2021/22,S92000003,Total,d,30580,30980,15950,12700, ,:
75,2021/22,S92000003,SMR04, ,18600,18700,14570,11960,2750, 
